"State Code","County Code","Site Number","Latitude","Longitude","Datum","Elevation","Land Use","Location Setting","Site Established Date","Site Closed Date","Met Site State Code","Met Site County Code","Met Site Site Number","Met Site Type","Met Site Distance","Met Site Direction","GMT Offset","Owning Agency","Local Site Name","Address","Zip Code","State Name","County Name","City Name","CBSA Name","Tribe Name","Extraction Date"
"01","001","0001",32.437458,-86.472891,"WGS84",64,"RESIDENTIAL","SUBURBAN","1974-05-01","1976-12-31","","","","","","",-6,"Al Dept Of Env Mgt","","KING ARTHUR TRAILER COURT, PRATTVILLE,AL","36067","Alabama","Autauga","Prattville","Montgomery, AL","","2024-11-20"
"01","001","0002",32.42847,-86.443585,"WGS84",0,"AGRICULTURAL","RURAL","1980-01-01","1982-12-31","","","","","","",-6,"Al Dept Of Env Mgt","","COUNTY RD 4 PRATTVILLE EXPERIMENT ST","","Alabama","Autauga","Prattville","Montgomery, AL","","2024-11-20"
"01","001","0003",32.332659,-86.791521,"WGS84",41,"FOREST","RURAL","1989-08-31","1990-11-30","","","","","","",-6,"Al Dept Of Env Mgt","","1170 COUNTY RD.15 SO., SELMA, AL. 36701","36003","Alabama","Autauga","Not in a City","Montgomery, AL","","2024-11-20"
"01","003","0001",0,0,"NAD27",0,"UNKNOWN","RURAL","1959-01-01","1959-12-31","","","","","","",-6,"US EPA National Exposure Research Lab","","CHANDLER RESIDENCE FT MORGAN STATE PARK","","Alabama","Baldwin","Not in a city","Daphne-Fairhope-Foley, AL","","2024-11-20"
"01","003","0002",30.552367,-87.706911,"WGS84",0,"COMMERCIAL","RURAL","1974-01-01","1977-12-31","","","","","","",-6,"Al Dept Of Env Mgt","","COR PENNSYLVANIA & CHICAGO (ROBERTSDALE)","36567","Alabama","Baldwin","Robertsdale","Daphne-Fairhope-Foley, AL","","2024-11-20"
"01","003","0003",30.555472,-87.713599,"WGS84",49,"COMMERCIAL","URBAN AND CENTER CITY","1977-08-12","1987-12-31","","","","","","",-6,"Al Dept Of Env Mgt","","RACINE AND MICHIGAN ST, ROBERTSDALE, AL.","","Alabama","Baldwin","Not in a city","Daphne-Fairhope-Foley, AL","","2024-11-20"
"01","003","0010",30.497478,-87.880258,"NAD83",37.19,"COMMERCIAL","SUBURBAN","2000-01-01","","","","","ON-SITE MET EQUIP","","",-6,"Al Dept Of Env Mgt","FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA","36532","Alabama","Baldwin","Fairhope","Daphne-Fairhope-Foley, AL","","2024-11-20"
"01","005","0001",31.891272,-85.13521,"WGS84",85,"COMMERCIAL","SUBURBAN","1974-01-01","1994-12-31","","","","","","",-6,"Al Dept Of Env Mgt","","601 EAST BARBOUR US HGWY 82","","Alabama","Barbour","Eufaula","Eufaula, AL-GA","","2024-11-20"
"01","005","0002",31.664302,-85.606175,"WGS84",143.26,"FOREST","SUBURBAN","2003-10-06","","","","","","","",-6,"Al Dept Of Env Mgt","CLIO","437 COUNTY ROAD 8, CLIO, ALABAMA","","Alabama","Barbour","Not in a city","Eufaula, AL-GA","","2024-11-20"
"01","007","0001",32.904048,-87.233057,"WGS84",445,"AGRICULTURAL","RURAL","1991-07-15","","","","","","","",-6,"Environmental Science & Engineering, Inc (Ese)","","11.8 KM SW OF CENTREVILLE ON CNTY RD 25.","35034","Alabama","Bibb","Centreville (Centerville)","Birmingham-Hoover, AL","","2024-11-20"
"01","009","0001",33.95702,-86.464443,"WGS84",250,"MOBILE","URBAN AND CENTER CITY","1957-01-01","1978-05-18","","","","","","",-6,"Al Dept Of Env Mgt","","COUNTY HEALTH DEPT 1002 2ND AVE EAST","35121","Alabama","Blount","Oneonta","Birmingham-Hoover, AL","","2024-11-20"
"01","009","0002",33.949542,-86.473042,"WGS84",6,"COMMERCIAL","URBAN AND CENTER CITY","1979-01-01","1997-12-31","","","","","","",-6,"Al Dept Of Env Mgt","","5TH E & 4TH ST NORTH","","Alabama","Blount","Oneonta","Birmingham-Hoover, AL","","2024-11-20"
"01","015","0001",33.656771,-85.824409,"WGS84",237,"COMMERCIAL","URBAN AND CENTER CITY","1972-01-01","1998-12-31","","","","","","",-6,"Al Dept Of Env Mgt","","309 EAST 8TH STREET","","Alabama","Calhoun","Anniston","Anniston-Oxford-Jacksonville, AL","","2024-11-20"
